disease_id	name	cui	DKE
DIS003177	Crush injury	C0020683	Hypovolemic shock
DIS003425	Cryoglobulinemia	C0085650	Purpura fulminans
DIS007023	Cryopyrin-associated periodic syndrome	C0003862	Arthralgia
DIS013434	Cryptic pregnancy	C0041657	Loss of consciousness, NOS
DIS007064	Cryptococcosis	C0023890	Cirrhosis of liver NOS
DIS007560	Cryptogenic organizing pneumonia	C0221423	Illness (finding)
DIS000057	Cryptomenorrhea	C0041618	Ultrasonography
DIS006406	Cryptorchidism	C0010417	Cryptorchidism
DIS005209	Cryptosporidiosis	C0010709	Cyst
DIS006251	Crystal arthropathy	C0020502	Hyperparathyroidism
DIS001395	Cushing ulcer	C0041582	Ulcer
DIS007077	Cushing's disease	C0018941	Blood test
DIS003783	Cushing's syndrome	C0332601	Cushingoid facies
DIS004624	Cutaneous amoebiasis	C0041582	Ulcer
DIS000947	Cutaneous B-cell lymphoma	C0027651	Neoplasms
DIS005170	Cutaneous horn	C0005558	Biopsy
DIS004601	Cutaneous larva migrans	C0015230	Exanthema
DIS003747	Cutaneous leishmaniasis	C0041582	Ulcer
DIS005279	Cutaneous lymphoid hyperplasia	C0333997	Lymphoid hyperplasia
DIS005534	Cutaneous T cell lymphoma	C0011603	Dermatitis
DIS003338	Cutis laxa	C0010495	Cutis laxa, NOS
DIS003495	Cutis marmorata telangiectatica congenita	C0221198	Lesion
DIS006208	Cutis verticis gyrata	C0221423	Illness (finding)
DIS004390	Cyanide poisoning	C0162429	Malnutrition
DIS006611	Cyclic neutropenia	C0162429	Malnutrition
DIS005147	Cyclopia	C0026821	Muscle cramp
DIS006906	Cyclosporiasis	C0231528	Myalgia
DIS006501	Cyclothymia	C1269683	Major depressive disorder
DIS005615	Cystadenocarcinoma	C0000731	Abdomen distended
DIS005629	Cystadenoma	C0027651	Neoplasms
DIS006529	Cystic fibrosis	C0430179	Sweat test
DIS000942	Cystic fibrosis-related diabetes	C0011860	Non-insulin-dependent diabetes mellitus
DIS005917	Cystic kidney disease	C0010709	Cyst
DIS000703	Cystic nephroma	C0005558	Biopsy
DIS003052	Cystic tumour of the atrioventricular nodal region	C0003811	Cardiac arrhythmia
DIS006036	Cysticercosis	C0029090	Ophthalmoscopy
DIS004847	Cystinosis	C0349588	Short stature
DIS007082	Cystocele	C0033377	Ptosis
DIS004781	Cysts of the jaws	C0010709	Cyst
DIS000894	Cytomegalic inclusion body disease	C0002878	Hemolytic anemia, NOS
DIS000616	Cytomegalovirus colitis	C0021390	Inflammatory bowel disease, NOS
DIS005840	Cytomegalovirus retinitis	C0023418	Leukemia, NOS
DIS003882	D-bifunctional protein deficiency	C0026827	Muscle hypotonia
DIS004211	Da Costa's syndrome	C0015674	Chronic fatigue syndrome
DIS006317	Dacryoadenitis	C0339143	Thyroid-associated ophthalmopathy
DIS005142	Dacryocystitis	C0013604	Edema
DIS006533	Dahlberg Borer Newcomer syndrome	C0020626	Hypoparathyroidism
DIS005450	Dandruff	C0234925	Greasy skin
DIS014265	Dandy–Walker malformation	C0041618	Ultrasonography
DIS007140	Danon disease	C0004238	Atrial fibrillation
DIS004944	Darier's disease	C0332563	Papule
DIS004155	De Barsy syndrome	C0010038	Corneal opacity, NOS
DIS003760	De Quervain syndrome	C0268000	Body fluid retention
DIS007300	De Quervain's thyroiditis	C0041912	Upper respiratory infection NOS
DIS006030	Decompression sickness	C0015663	Fasting
DIS004063	Deep vein thrombosis	C0038454	Cerebrovascular accident
DIS005327	Deficiency of the interleukin-1–receptor antagonist	C0427184	No incoordination
DIS001079	Deformity	C0003864	Arthritis
DIS006066	Degenerative disc disease	C0026837	Muscle rigidity
DIS005793	Dehydration	C0011175	Dehydration
DIS005171	Dejerine–Roussy syndrome	C0027651	Neoplasms
DIS006265	Dejerine–Sottas disease	C0020564	Hypertrophy
DIS000538	Delayed onset muscle soreness	C0231528	Myalgia
DIS006201	Delayed puberty	C0034012	Delayed puberty NOS
DIS004564	Delayed sleep phase disorder	C0037315	Sleep apnea syndrome
DIS004825	Delirium	C0011206	Delirium
DIS005763	Delirium tremens	C0001957	Alcohol withdrawal delirium
DIS006028	Delta-beta thalassemia	C0002871	Anemia
DIS003932	Delusional disorder	C0011251	Delusional disorder
DIS004606	Delusional parasitosis	C0004936	Mental disorders NOS
DIS003289	Dementia	C0020676	Hypothyroidism
DIS004499	Dementia with Lewy bodies	C0021368	Inflammation
DIS004621	Demodicosis	C0152030	Skin irritation
DIS006795	Demyelinating disease	C0011570	Depression NOS
DIS003910	Dengue fever	C0014038	Encephalitis
DIS007366	Dent's disease	C0011175	Dehydration
DIS003842	Dental abscess	C0000833	Abscess
DIS010326	Dentatorubral–pallidoluysian atrophy	C0014544	Epilepsy
DIS000096	Dentin hypersensitivity	C0030193	Pain
DIS004567	Dentinogenesis imperfecta	C1384666	Hearing impairment
DIS006842	Denture-related stomatitis	C0011849	Diabetes mellitus, NOS
DIS004167	Denys–Drash syndrome	C0027726	Nephrotic syndrome NOS
DIS006287	Dependent personality disorder	C0011548	Dependent personality disorder
DIS007602	Depersonalization disorder	C0011551	Depersonalization
DIS007359	Dermatitis	C0011603	Dermatitis
DIS003192	Dermatitis herpetiformis	C0013595	Eczema
DIS007055	Dermatochalasis	C0005741	Blepharitis
DIS005465	Dermatofibrosarcoma protuberans	C0005558	Biopsy
DIS004797	Dermatographic urticaria	C0038999	Swelling
DIS007592	Dermatomyositis	C0015230	Exanthema
DIS003813	Dermatopathia pigmentosa reticularis	C0162834	Hyperpigmentation
DIS007196	Dermatophytosis	C0040259	Tinea pedis
DIS007497	Desmin-related myofibrillar myopathy	C0026848	Myopathy
DIS006996	Desmoplastic fibroma	C0027651	Neoplasms
DIS005716	Desquamative gingivitis	C0004364	Autoimmune disease NOS
DIS004497	Developmental coordination disorder	C0008073	Developmental disorder
DIS006879	Developmental disability	C0008073	Developmental disorder
DIS005158	Developmental disorder	C0026837	Muscle rigidity
DIS006014	dextro-Transposition of the great arteries	C0010520	Cyanosis
DIS003759	Dextrocardia	C1623258	Electrocardiography
DIS006648	Dhat syndrome	C0023533	Leukorrhea
DIS009973	Diabetes	C0028754	Obesity
DIS003375	Diabetes insipidus	C0162283	Nephrogenic diabetes insipidus, NOS
DIS005934	Diabetic angiopathy	C0011849	Diabetes mellitus, NOS
DIS005404	Diabetic bulla	C0011849	Diabetes mellitus, NOS
DIS000559	Diabetic foot ulcer	C0031117	Peripheral neuropathy, NOS
DIS003582	Diabetic ketoacidosis	C0011849	Diabetes mellitus, NOS
DIS006471	Diabetic nephropathy	C0001925	Albuminuria
DIS007108	Diabetic retinopathy	C0013604	Edema
DIS003397	Diamond–Blackfan anemia	C0005954	Bone marrow biopsy
DIS005983	Diaphragmatic rupture	C0085639	Falls
DIS004326	Diarrhea	C0024523	Malabsorption syndrome NOS
DIS007123	Diastasis recti	C0038999	Swelling
DIS005206	Diastasis symphysis pubis	C0024485	Magnetic resonance imaging
DIS007538	Diastrophic dysplasia	C0008925	Cleft palate NOS
DIS005157	Dicarboxylic aminoaciduria	C0271708	Fasting hypoglycemia
DIS007476	Dientamoebiasis	C0231221	Asymptomatic
DIS001151	Diesel engine runaway	C0038454	Cerebrovascular accident
DIS002939	Diet Coke and Mentos eruption	C0015230	Exanthema
DIS007617	Dieulafoy's lesion	C0019080	Hemorrhage
DIS000065	Diffuse alveolar damage	C0035222	Adult respiratory distress syndrome, NOS
DIS005399	Diffuse esophageal spasm	C0037763	Spasm
DIS004938	Diffuse idiopathic skeletal hyperostosis	C0006663	Calcinosis
DIS006079	Diffuse lamellar keratitis	C0009763	Conjunctivitis
DIS006125	Diffuse large B-cell lymphoma	C0027651	Neoplasms
DIS006890	Diffuse myelinoclastic sclerosis	C0003537	Aphasia
DIS006710	Diffuse panbronchiolitis	C0021368	Inflammation
DIS005391	DiGeorge syndrome	C0018798	Congenital heart defect
DIS003889	Digestive system neoplasm	C0027651	Neoplasms
DIS004506	Digoxin toxicity	C0013798	Electrocardiogram
DIS006707	Dilated cardiomyopathy	C0016059	Fibrosis
DIS005066	Diplopia	C0012569	Diplopia
DIS003471	Dirofilariasis	C0018941	Blood test
DIS005883	Discitis	C0022821	Kyphosis deformity of spine
DIS004477	Discoid lupus erythematosus	C0041834	Erythema
DIS000929	Disease	C0004936	Mental disorders NOS
DIS005273	Dislocated shoulder	C0024485	Magnetic resonance imaging
DIS007368	Dislocation of jaw	C1384666	Hearing impairment
DIS005695	Disorder of written expression	C0023186	Learning disorder
DIS006898	Disorganized schizophrenia	C0233636	Disorder of form of thought
DIS005520	Disseminated intravascular coagulation	C0000832	Abruptio placentae
DIS001262	Distal intestinal obstruction syndrome	C0041618	Ultrasonography
DIS003349	Distal muscular dystrophy	C0026848	Myopathy
DIS000912	Distal radius fracture	C0029456	Osteoporosis
DIS005802	Distal renal tubular acidosis	C0004364	Autoimmune disease NOS
DIS005475	Distal spinal muscular atrophy type 1	C0013839	Electromyography
DIS004134	Diurnal enuresis	C0009806	Constipation
DIS006483	Diverticulitis	C0020538	Hypertensive disease
DIS005895	Diverticulosis	C0009806	Constipation
DIS004650	Dizziness	C0004936	Mental disorders NOS
DIS003725	Dolichol kinase deficiency	C0026827	Muscle hypotonia
DIS003900	Domestic violence	C0740858	Substance abuse
DIS007143	Donnai–Barrow syndrome	C0036572	Convulsions
DIS005892	DOOR syndrome	C0024485	Magnetic resonance imaging
DIS003459	Dopamine beta hydroxylase deficiency	C0011175	Dehydration
DIS005005	Down syndrome	C0000786	Spontaneous abortion
DIS006575	Dracunculiasis	C0030193	Pain
DIS003681	Drooling	C0013132	Drooling
DIS005978	Drug allergy	C0221423	Illness (finding)
DIS006932	Drug overdose	C0038577	Drugs of abuse screen
DIS003211	Drug-induced lupus erythematosus	C0162429	Malnutrition
DIS005218	Drusen	C0231221	Asymptomatic
DIS002056	Dry eye syndrome	C0314719	Dryness of eye
DIS003188	Duane syndrome	C0004398	Autopsy
DIS003260	Duane-radial ray syndrome	C0009555	Complete blood count
DIS003167	Dubin–Johnson syndrome	C0004398	Autopsy
DIS006839	Duchenne muscular dystrophy	C0028754	Obesity
DIS005559	Duct ectasia of breast	C0005558	Biopsy
DIS006650	Dukes' disease	C0011991	Diarrhea
DIS004330	Dumping syndrome	C0017741	Glucose tolerance test
DIS004990	Duodenal cancer	C0017168	Gastroesophageal reflux disease
DIS006569	Duodenitis	C0004364	Autoimmune disease NOS
DIS006598	Dupuytren's contracture	C0013312	Dupuytren contracture
DIS003595	Dwarfism	C0013336	Dwarfism
DIS000359	Dysautonomia	C0013363	Dysautonomia
DIS005239	Dyscalculia	C0162429	Malnutrition
DIS007342	Dysgerminoma	C0016059	Fibrosis
DIS005182	Dysgraphia	C0233794	Memory impairment
DIS005952	Dyskeratosis congenita	C0002871	Anemia
DIS006712	Dyslexia	C0024485	Magnetic resonance imaging
DIS006738	Dysmetria	C0027651	Neoplasms
DIS006718	Dysplastic nevus syndrome	C0221198	Lesion
DIS004374	Dystonia	C0013421	Dystonia
DIS005393	Eagle syndrome	C0007859	Neck pain NOS
DIS005592	Eales disease	C0019080	Hemorrhage
DIS005737	EAST syndrome	C0020580	Hypesthesia
DIS004478	Ebola virus disease	C0038990	Sweating
DIS006612	Ebstein's anomaly	C0232257	Systolic murmur, NOS
DIS003316	Echinococcosis	C0010709	Cyst
DIS005942	Echolalia	C0008073	Developmental disorder
DIS004284	Ecthyma gangrenosum	C0241157	Pustule, NOS
DIS007405	Ectodermal dysplasia	C3714514	Infection
DIS004255	Ectopic pregnancy	C0021359	Infertility
DIS007546	Ectrodactyly	C0011053	Deafness
DIS003576	Ectrodactyly–ectodermal dysplasia–cleft syndrome	C0162429	Malnutrition
DIS004402	Eczema vaccinatum	C0150866	Biopsy of skin
DIS000433	Edema	C0010201	Chronic cough
DIS000635	Edentulism	C0010709	Cyst
DIS007222	Edwards syndrome	C0002627	Amniocentesis
DIS004184	Egg allergy	C0042109	Urticaria
DIS004034	Ego-dystonic sexual orientation	C0004936	Mental disorders NOS
DIS005259	Ehlers–Danlos syndromes	C0013516	Echocardiography
DIS007289	Ehrlichiosis	C0006840	Candidiasis
DIS006523	Ehrlichiosis ewingii infection	C0018681	Headache
DIS004940	Eisenmenger's syndrome	C0018798	Congenital heart defect
DIS005948	Ejaculatory duct obstruction	C0021364	Male infertility
DIS005720	Electrolyte imbalance	C0010481	Cushing's syndrome NOS
DIS007580	Elevated alkaline phosphatase	C0015695	Fatty liver
DIS004670	Ellis–van Creveld syndrome	C0008925	Cleft palate NOS
DIS006980	Embryonal carcinoma	C0019080	Hemorrhage
DIS005993	Embryonal rhabdomyosarcoma	C0027651	Neoplasms
DIS005389	Emergence delirium	C0085631	Agitation
DIS004547	Emery–Dreifuss muscular dystrophy	C0013516	Echocardiography
DIS000278	Emphysematous cystitis	C0000737	Abdominal pain
DIS005846	Empty sella syndrome	C0024485	Magnetic resonance imaging
DIS001446	Enamel hypoplasia	C0020598	Hypocalcemia
DIS003804	Encephalitis	C0014038	Encephalitis
DIS005706	Encephalitis lethargica	C0014038	Encephalitis
DIS006813	Encephalocele	C0017547	Gigantism
DIS005356	Enchondroma	C0027651	Neoplasms
DIS006116	Encopresis	C0009806	Constipation
DIS006343	Endocardial fibroelastosis	C3714514	Infection
DIS007277	Endocrine gland neoplasm	C0027651	Neoplasms
DIS006970	Endodermal sinus tumor	C0005558	Biopsy
DIS002735	Endolymphatic hydrops	C0011175	Dehydration
DIS004881	Endometrial cancer	C1510477	Endometrial biopsy
DIS006883	Endometrial hyperplasia	C0079104	Pap smear
DIS002744	Endometrial intraepithelial neoplasia	C0221198	Lesion
DIS007213	Endometrial polyp	C0020538	Hypertensive disease
DIS007225	Endometrioid tumor	C0027651	Neoplasms
DIS006684	Endometritis	C0000737	Abdominal pain
DIS005537	Endophthalmitis	C0702166	Acne
DIS000319	Endosalpingiosis	C0005558	Biopsy
DIS005750	Enlarged vestibular aqueduct	C0011053	Deafness
DIS004272	Enolase deficiency	C0162429	Malnutrition
DIS002888	Enteric duplication cyst	C0000737	Abdominal pain
DIS003778	Enteritis	C0021368	Inflammation
DIS006513	Enterocolitis	C0014356	Enterocolitis
DIS006940	Enteropathy-associated T-cell lymphoma	C0003862	Arthralgia
DIS006469	Enterotoxigenic Escherichia coli	C0000729	Abdominal cramps
DIS006429	Entropion	C0010495	Cutis laxa, NOS
DIS003845	Enuresis	C0042024	Urinary incontinence
DIS006713	Eosinophilia	C0014457	Eosinophilia
DIS003998	Eosinophilia–myalgia syndrome	C0003862	Arthralgia
DIS003823	Eosinophilic cellulitis	C0004364	Autoimmune disease NOS
DIS007630	Eosinophilic esophagitis	C0017168	Gastroesophageal reflux disease
DIS004628	Eosinophilic fasciitis	C0003862	Arthralgia
DIS004642	Eosinophilic folliculitis	C0021368	Inflammation
DIS005776	Eosinophilic gastroenteritis	C0014457	Eosinophilia
DIS003671	Eosinophilic granulomatosis with polyangiitis	C0018188	Granuloma
DIS007499	Eosinophilic pneumonia	C0005558	Biopsy
DIS001172	Eosinophilic ulcer of the oral mucosa	C0027651	Neoplasms
DIS003915	Ependymoma	C0009806	Constipation
DIS005320	Epidemic typhus	C0010200	Coughing
DIS003374	Epidermodysplasia verruciformis	C0221198	Lesion
DIS007621	Epidermoid cyst	C0014511	Epithelial cyst
DIS006717	Epidermolysis bullosa	C0150866	Biopsy of skin
DIS004399	Epidermolysis bullosa dystrophica	C0030193	Pain
DIS007504	Epidermolysis bullosa simplex	C0041834	Erythema
DIS003769	Epididymitis	C0030193	Pain
DIS005188	Epidural hematoma	C0004398	Autopsy
DIS004315	Epiglottitis	C0037763	Spasm
DIS005679	Epilepsia partialis continua	C0014544	Epilepsy
DIS003844	Epilepsy	C0008073	Developmental disorder
DIS003603	Epilepsy-intellectual disability in females	C0036572	Convulsions
DIS003593	Epileptic seizure	C0009952	Febrile convulsions
DIS007125	Epileptic spasms	C0424295	Hyperactive behavior
DIS006860	Epiretinal membrane	C0021368	Inflammation
DIS007615	Episcleritis	C0003864	Arthritis
DIS005812	Episodic ataxia	C0004134	Ataxia
DIS002923	Epithelial basement membrane dystrophy	C0231221	Asymptomatic
DIS007442	Epithelioid hemangioendothelioma	C0027651	Neoplasms
DIS000843	Epithelioid sarcoma	C0005558	Biopsy
DIS007178	Epstein–Barr virus infection	C0000786	Spontaneous abortion
DIS007603	Epulis fissuratum	C0037293	Skin tag
DIS004265	Erb's palsy	C0013418	Dystocia
DIS007584	Erdheim–Chester disease	C0005558	Biopsy
DIS005584	Erectile dysfunction	C0004936	Mental disorders NOS
DIS005455	Erethism	C0004936	Mental disorders NOS
DIS004681	Ergotism	C0017086	Gangrene
DIS002909	Erotomania	C0001973	Alcohol dependence
DIS007148	Erysipelas	C0015230	Exanthema
DIS005051	Erythema	C0001144	Acne vulgaris
DIS004802	Erythema ab igne	C0020676	Hypothyroidism
DIS003604	Erythema annulare centrifugum	C0302295	Eruption
DIS006662	Erythema multiforme	C0023418	Leukemia, NOS
DIS003477	Erythema nodosum	C0041296	Tuberculosis
DIS003213	Erythema toxicum neonatorum	C0015230	Exanthema
DIS006973	Erythrasma	C0011849	Diabetes mellitus, NOS
DIS005692	Erythroderma	C0036508	Seborrheic dermatitis
DIS006423	Erythromelalgia	C0014804	Erythromelalgia
DIS006902	Erythroplakia	C0014818	Erythroplasia
DIS005645	Erythropoietic porphyria	C0002871	Anemia
DIS003773	Erythropoietic protoporphyria	C0013604	Edema
DIS009023	Esophageal achalasia	C0017168	Gastroesophageal reflux disease
DIS007406	Esophageal atresia	C0003578	Apnea
DIS007114	Esophageal candidiasis	C0005558	Biopsy
DIS005037	Esophageal food bolus obstruction	C0007859	Neck pain NOS
DIS003378	Esophageal varices	C0001973	Alcohol dependence
DIS003722	Esophageal web	C0203065	Barium swallow
DIS006716	Esophagitis	C0014868	Esophagitis
DIS006928	Esophoria	C0012569	Diplopia
DIS007503	Esotropia	C0002418	Amblyopia
DIS008137	Essential thrombocythemia	C0019080	Hemorrhage
DIS005902	Essential tremor	C0040822	Tremor
DIS005803	Esthesioneuroblastoma	C0027651	Neoplasms
DIS007092	Ethylene glycol poisoning	C0018941	Blood test
DIS003226	Ethylmalonic encephalopathy	C0015230	Exanthema
DIS005187	Eumycetoma	C0005558	Biopsy
DIS007192	Euthyroid sick syndrome	C0221423	Illness (finding)
DIS004439	Evans syndrome	C0002878	Hemolytic anemia, NOS
DIS003574	Ewing's sarcoma	C0221198	Lesion
DIS004522	Exanthem	C0015230	Exanthema
DIS004336	Excessive daytime sleepiness	C0002871	Anemia
DIS007029	Excoriated acne	C0001144	Acne vulgaris
DIS003585	Excoriation disorder	C0035143	Repression
DIS005100	Exercise intolerance	C0006267	Bronchiectasis
DIS007185	Exercise-induced bronchoconstriction	C0011175	Dehydration
DIS014280	Exercise-induced collapse	C0030193	Pain
DIS005079	Exocrine pancreatic insufficiency	C0030291	Pancreatic function test
DIS006925	Exophoria	C0015310	Exotropia
DIS005280	Exophthalmos	C0015300	Exophthalmos
DIS007407	Exostosis	C1442903	Exostosis NOS
DIS004282	Exotropia	C0004936	Mental disorders NOS
DIS004662	Expressive aphasia	C0027651	Neoplasms
DIS000025	Extinction event	C0036974	Shock
DIS003239	Extramammary Paget's disease	C0011603	Dermatitis
DIS006920	Extranodal NK/T-cell lymphoma, nasal type	C0005558	Biopsy
DIS005855	Extrapyramidal symptoms	C0025289	Meningitis
DIS003651	Eye neoplasm	C0012569	Diplopia
DIS006049	Eye strain	C0004095	Asthenopia
DIS003639	Fabry disease	C0162429	Malnutrition
DIS005956	Facial nerve paralysis	C0333262	Vesicle (morphologic abnormality)
DIS003976	Facial trauma	C0085639	Falls
DIS003272	Facioscapulohumeral muscular dystrophy	C0013839	Electromyography
DIS006017	Factitious disorder	C0221423	Illness (finding)
DIS007377	Factitious disorder imposed on self	C0004936	Mental disorders NOS
DIS006475	Factor V Leiden	C0030605	Activated partial thromboplastin time
DIS004433	Failed back syndrome	C0030193	Pain
DIS004214	Fallopian tube cancer	C0018941	Blood test
DIS006256	Fallopian tube obstruction	C0021359	Infertility
DIS005240	Falls in older adults	C0085639	Falls
DIS005471	False pregnancy	C0009806	Constipation
DIS007045	Familial adenomatous polyposis	C0018941	Blood test
DIS008124	Familial amyloid polyneuropathy	C0005558	Biopsy
DIS006319	Familial dysautonomia	C0002627	Amniocentesis
DIS006234	Familial dysbetalipoproteinemia	C0002962	Angina pectoris NOS
DIS003621	Familial hemiplegic migraine	C0149931	Migraine NOS
DIS006893	Familial hypercholesterolemia	C0003742	Arcus senilis
DIS005922	Familial hypocalciuric hypercalcemia	C0020580	Hypesthesia
DIS007579	Familial isolated vitamin E deficiency	C0004134	Ataxia
DIS006957	Familial Mediterranean fever	C0021368	Inflammation
DIS005820	Fanconi anemia	C0025958	Microcephaly
DIS006566	Fanconi syndrome	C0017979	Glycosuria
DIS003948	Farber disease	C0003864	Arthritis
DIS004934	Farmer's lung	C0009443	Common cold
DIS003449	Fasciolopsiasis	C0000737	Abdominal pain
DIS007351	Fasciolosis	C3714514	Infection
DIS009005	Fatal insomnia	C0032743	Positron emission tomography
DIS008980	fatty liver disease	C0011849	Diabetes mellitus, NOS
DIS003809	Fatty-acid metabolism disorder	C0020615	Hypoglycemia
DIS009749	Favus	C0205204	Scab
DIS004649	Fazio–Londe disease	C0013404	Dyspnea
DIS005625	Febrile neutrophilic dermatosis	C0021390	Inflammatory bowel disease, NOS
DIS006809	Febrile non-hemolytic transfusion reaction	C0015967	Fever
DIS004435	Febrile seizure	C0009952	Febrile convulsions
DIS007207	Fecal impaction	C0004364	Autoimmune disease NOS
DIS004741	Fecal incontinence	C0009806	Constipation
DIS004919	Fecal vomiting	C0042963	Vomiting
DIS006022	Fecalith	C0041618	Ultrasonography
DIS003768	Feingold syndrome	C0025958	Microcephaly
DIS004351	Felty's syndrome	C0023418	Leukemia, NOS
DIS006568	Female infertility	C0021361	Female infertility
DIS005906	Female sexual arousal disorder	C0004936	Mental disorders NOS
DIS005440	Femoral hernia	C0024485	Magnetic resonance imaging
DIS003309	Fetal alcohol spectrum disorder	C0233514	Abnormal behavior
DIS005561	Fetal distress	C0015930	Fetal distress NOS
DIS005756	Fetal warfarin syndrome	C0041667	Underweight
DIS005829	Fetal-maternal haemorrhage	C0018941	Blood test
DIS003437	Fever of unknown origin	C0015967	Fever
DIS006438	FG syndrome	C0009806	Constipation
DIS000842	Fibrinolysis syndrome	C0019080	Hemorrhage
DIS004007	Fibroadenoma	C0027651	Neoplasms
DIS003762	Fibrochondrogenesis	C0016059	Fibrosis
DIS005473	Fibrocystic breast changes	C0005558	Biopsy
DIS003555	Fibrodysplasia ossificans progressiva	C0027651	Neoplasms
DIS014308	Fibroepithelial neoplasm	C0027651	Neoplasms
DIS004088	Fibrolamellar hepatocellular carcinoma	C0000737	Abdominal pain
DIS003258	Fibroma	C0027651	Neoplasms
DIS004066	Fibromatosis	C0013312	Dupuytren contracture
DIS004810	Fibromyalgia	C0015672	Fatigue
DIS005637	Fibrosarcoma	C0030193	Pain
DIS013416	Fibrosing colonopathy	C0000731	Abdomen distended
DIS003230	Fibrosis	C0023890	Cirrhosis of liver NOS
DIS005443	Fibrothorax	C0016059	Fibrosis
DIS004732	Fibrous dysplasia of bone	C0005558	Biopsy
DIS006956	Fifth disease	C0009443	Common cold
DIS006672	First-degree atrioventricular block	C0085614	First degree atrioventricular block
DIS003633	Fissured tongue	C0234233	Sore to touch
DIS003662	Fistula	C0021390	Inflammatory bowel disease, NOS
DIS003274	Fitz-Hugh–Curtis syndrome	C0008033	Pleuritic pain
DIS005316	Fitzsimmons–Guilbert syndrome	C0030486	Paraplegia
DIS004112	Fixed drug reaction	C0030193	Pain
DIS007232	Flaccid paralysis	C3697716	Acute flaccid paralysis
DIS003160	Flail chest	C0085639	Falls
DIS007601	Flat feet	C0085639	Falls
DIS004067	Floater	C0016242	Vitreous floaters
DIS007610	Floating–Harbor syndrome	C0036572	Convulsions
DIS005054	Flock worker's lung	C0004096	Asthma
DIS005462	Florid cutaneous papillomatosis	C0027651	Neoplasms
DIS005767	Flynn–Aird syndrome	C0004134	Ataxia
DIS000361	Focal dystonia	C0013421	Dystonia
DIS006441	Focal facial dermal dysplasia	C0221198	Lesion
DIS000098	Focal hyperhidrosis	C0028081	Night sweats
DIS007122	Focal nodular hyperplasia	C0024485	Magnetic resonance imaging
DIS005419	Focal segmental glomerulosclerosis	C0017658	Glomerulonephritis
DIS003445	Focal seizure	C0036572	Convulsions
DIS007555	Folate deficiency	C0001973	Alcohol dependence
DIS006107	Folie à deux	C0011251	Delusional disorder
DIS004302	Follicular cyst of ovary	C0010709	Cyst
DIS000607	Follicular hyperplasia	C0003864	Arthritis
DIS003853	Follicular lymphoma	C0221198	Lesion
DIS006781	Follicular thyroid cancer	C0027651	Neoplasms
DIS006135	Folliculitis	C0242301	Furuncle
DIS005786	Food allergy	C0559470	Allergy to peanuts
DIS004492	Food intolerance	C0221423	Illness (finding)
DIS004277	Foot-and-mouth disease	C0015230	Exanthema
DIS004972	Fountain syndrome	C0011053	Deafness
DIS003341	Fournier gangrene	C3714514	Infection
DIS004582	Foville's syndrome	C0015469	Facial nerve palsy
DIS006522	Fox–Fordyce disease	C0021368	Inflammation
DIS006776	Fragile X syndrome	C0025362	Mental retardation NOS
DIS006649	Fragile X-associated tremor/ataxia syndrome	C0026650	Movement disorder
DIS005016	Fraser syndrome	C0004398	Autopsy
DIS003808	Frasier syndrome	C0027651	Neoplasms
DIS005785	Freckle	C0016689	Freckles
DIS003753	Freeman–Sheldon syndrome	C0017168	Gastroesophageal reflux disease
DIS005260	Friedreich's ataxia	C0013516	Echocardiography
DIS004227	Frontal lobe disorder	C0007820	Cerebrovascular disease NOS
DIS004805	Frontonasal dysplasia	C0020534	Orbital separation excessive
DIS007272	Frontotemporal dementia	C0024485	Magnetic resonance imaging
DIS005104	Frontotemporal lobar degeneration	C0024485	Magnetic resonance imaging
DIS006305	Fructose bisphosphatase deficiency	C0015663	Fasting
DIS004762	Fructose malabsorption	C0022951	Lactose intolerance
DIS006673	Fuchs' dystrophy	C0013604	Edema
DIS005936	Fucosidosis	C0162429	Malnutrition
DIS005119	Fugue state	C0009676	Confusion
DIS006775	Fukuyama congenital muscular dystrophy	C0024485	Magnetic resonance imaging
DIS005853	Fumarase deficiency	C0006111	Disease of brain
DIS003918	Fungal folliculitis	C0241157	Pustule, NOS
DIS003870	Fungal keratitis	C0041582	Ulcer
DIS006004	Fungal meningitis	C0025289	Meningitis
DIS004747	Fungal sinusitis	C0024485	Magnetic resonance imaging
DIS004002	Fungemia	C0015672	Fatigue
DIS004976	Galactorrhea	C0020676	Hypothyroidism
DIS004316	Galactose epimerase deficiency	C0162429	Malnutrition
DIS005638	Galactose-1-phosphate uridylyltransferase deficiency	C0019080	Hemorrhage
DIS000541	Galeazzi fracture	C0009492	Compartment syndrome, NOS
DIS004043	Gallbladder cancer	C0005558	Biopsy
DIS004187	Gallbladder polyp	C0041618	Ultrasonography
DIS005780	Galloway Mowat syndrome	C0027726	Nephrotic syndrome NOS
DIS005798	Gallstone	C0008310	Endoscopic retrograde cholangiopancreatography
DIS001166	Gangliocytic paraganglioma	C0000737	Abdominal pain
DIS007297	Ganglioglioma	C0010709	Cyst
DIS004891	Ganglion cyst	C0010709	Cyst
DIS007293	Ganglioneuroblastoma	C0027651	Neoplasms
DIS005745	Ganglioneuroma	C0027651	Neoplasms
DIS004532	Gangrene	C0011849	Diabetes mellitus, NOS
DIS007466	Ganser syndrome	C0012746	Dissociative disorder
DIS004438	Gardner's syndrome	C0014511	Epithelial cyst
DIS004076	Gas gangrene	C0036690	Septicemia
DIS004037	Gastric antral vascular ectasia	C0023890	Cirrhosis of liver NOS
