synonym_name	code	name
Optic Disk Drusen	D015594	MeSH
optic nerve head drusen	33629003	SNOMED CT
Infection due to Aspergillus	65553006	SNOMED CT
Aspergillosis	D001228	MeSH
Fetal blood loss from fetal hemorrhage into co-twin	772.0	ICD-9
Fetofetal Transfusion	D005330	MeSH
Fetal hemorrhage into co-twin (disorder)	56268004	SNOMED CT
Twin to twin transfusion	237299001	SNOMED CT
Twin-to-twin blood transfer (disorder)	13404009	SNOMED CT
Kwashiokor	154730001	SNOMED CT
Kwashiorkor	D007732	MeSH
Nutritional edema with dyspigmentation of skin and hair	260	ICD-9
Nutritional oedema with dyspigmentation of skin and/or hair	58262005	SNOMED CT
neoplasm of maxillary sinus (disorder)	126676009	SNOMED CT
Maxillary Sinus Neoplasms	D008444	MeSH
tumor of Maxillofacial sinus	C3219	NCI
bile occlusion	0413-4023	CSP
Cholestasis	D002779	MeSH
Obstruction of bile duct	576.2	ICD-9
Alveolar periostitis (disorder)	251331003	SNOMED CT
Dry Socket	D004368	MeSH
Alveolitis of jaw	526.5	ICD-9
Alveolitis of jaw (disorder)	61804006	SNOMED CT
Alveolitis of jaw NOS (disorder)	196467004	SNOMED CT
Dry socket	526.5	ICD-9
Dry tooth socket	196465007	SNOMED CT
Eclampsia in puerperium (disorder)	303063000	SNOMED CT
Eclampsia	D004461	MeSH
Eclampsia, postpartum	642.64	ICD-9
Atresia of bile duct	204779004	SNOMED CT
Biliary Atresia	D001656	MeSH
biliary atresia, congenital	751.61	ICD-9
Congenital biliary atresia (disorder)	77480004	SNOMED CT
extrahepatic biliary Stasis	C34420	NCI
Cholestasis, Extrahepatic	D001651	MeSH
extrahepatic cholestasis (finding)	20719006	SNOMED CT
extrahepatic obstructive biliary disease (disorder)	8262006	SNOMED CT
Atrial septal defect within oval fossa	204315000	SNOMED CT
Foramen Ovale, Patent	D054092	MeSH
Defect, Patent or persistent, ostium secundum	745.5	ICD-9
foramen ovale patent	0725-0467	CSP
Ostium secundum type atrial septal defect	745.5	ICD-9
Persistent ostium secundum	204318003	SNOMED CT
(Campylobacter GIT infection (& [diarrhea] or [enteritis]) or (helicobacter gastritis)	186143000	SNOMED CT
Campylobacter Infections	D002169	MeSH
Campylobacteriosis (disorder)	86500004	SNOMED CT
Fanconi Anemia	D005199	MeSH
Pseudoexfoliation glaucoma	365.52	ICD-9
Exfoliation Syndrome	D017889	MeSH
Pseudoexfoliation syndrome	44219007	SNOMED CT
Encephalitis following immunization procedures	323.5	ICD-9
Encephalomyelitis, Acute Disseminated	D004673	MeSH
Postvaccinal encephalomyelitis	31367003	SNOMED CT
Synovitis, acne, pustulosis palmaris, hyperostosis, osteomyelitis syndrome	203140009	SNOMED CT
Acquired Hyperostosis Syndrome	D020083	MeSH
Intrinsic enamel discolouration of fluorosis	30265004	SNOMED CT
Fluorosis, Dental	D009050	MeSH
Mottled teeth	520.3	ICD-9
Mottling of enamel	520.3	ICD-9
Epiphora	375.2	ICD-9
Lacrimal Apparatus Diseases	D007766	MeSH
Excessive tear production	49393005	SNOMED CT
Watering eye	193982009	SNOMED CT
Oriental liver fluke disease	121.1	ICD-9
Clonorchiasis	D003003	MeSH
Infection by Opisthorchis	121.0	ICD-9
Opisthorchiasis	D009889	MeSH
Addison Disease	D000224	MeSH
primary adrenocortical insufficiency	373662000	SNOMED CT
primary hypoadrenalism	68588005	SNOMED CT
(Chancroid [& bubo]) or (Ducrey's chancre)	186945008	SNOMED CT
Chancroid	D002602	MeSH
Ulcus molle, skin	099.0	ICD-9
Endometrial Neoplasms	D016889	MeSH
malignant endometrial neoplasm	C27815	NCI
neoplasm of endometrium (disorder)	123844007	SNOMED CT
primary malignant neoplasm of endometrium	93781006	SNOMED CT
tumor of Endometrium	C3012	NCI
Conjunctivitis, Inclusion	D003235	MeSH
Chlamydial conjunctivitis	266202002	SNOMED CT
Inclusion blennorrhoea	56009001	SNOMED CT
inclusion blenorrhea	1114-8463	CSP
Adenoviral pharyngoconjunctivitis (disorder)	70385007	SNOMED CT
Adenovirus Infections, Human	D000258	MeSH
Pharyngoconjunctival Fever	C34924	NCI
Pharyngoconjunctival fever	077.2	ICD-9
familial combined hyperlipidemia (disorder)	238040008	SNOMED CT
Hyperlipidemia, Familial Combined	D006950	MeSH
familial combined hyperlipidemia (disorder) [Ambiguous]	48190005	SNOMED CT
familial multiple lipoprotein-type hyperlipidemia (disorder)	299465007	SNOMED CT
hyperbetalipoproteinemia with prebetalipoproteinemia	272.2	ICD-9
mixed hyperlipidaemia	154742006	SNOMED CT
mixed hyperlipidemia	272.2	ICD-9
mixed hyperlipidemia (disorder)	267434003	SNOMED CT
type IIb hyperlipoproteinemia	C34708	NCI
Fox-Fordyce Disease	D005588	MeSH
familial hyperbetalipoproteinaemia	389985001	SNOMED CT
Hyperlipoproteinemia Type II	D006938	MeSH
familial hypercholesteremia	1849-4634	CSP
Fredrickson type IIa hyperlipoproteinemia	272.0	ICD-9
Fredrickson type IIa lipidaemia	190772003	SNOMED CT
type II hyperlipidemia	C34704	NCI
disorder of 12th nerve	352.5	ICD-9
Hypoglossal Nerve Diseases	D020437	MeSH
disorder of hypoglossal [12th] nerve	352.5	ICD-9
disorder of hypoglossal nerve (disorder)	24777009	SNOMED CT
disorder of XII nerve	C26954	NCI
Climatic or tropical bubo	099.1	ICD-9
Lymphogranuloma Venereum	D008219	MeSH
Patent ductus Botalli	747.0	ICD-9
Ductus Arteriosus, Patent	D004374	MeSH
familial hypobetalipoproteinemia	272.5	ICD-9
Abetalipoproteinemia	D000012	MeSH
microsomal triglyceride transfer protein deficiency disease	1849-5137	CSP
disorder of trochlear nerve	230532006	SNOMED CT
Trochlear Nerve Diseases	D020432	MeSH
Superior oblique muscle innervation disorder	6845000	SNOMED CT
Trochlear nerve disorder, NOS	14904006	SNOMED CT
Lack or loss of sexual desire	192464008	SNOMED CT
Sexual Dysfunctions, Psychological	D020018	MeSH
Hypolipoproteinaemia (disorder)	363140000	SNOMED CT
Hypolipoproteinemias	D007009	MeSH
Tangier Disease	D013631	MeSH
familial high density lipoprotein deficiency	1849-5194	CSP
familial hypoalphalipoproteinemia	15346004	SNOMED CT
Sick Sinus Syndrome	D012804	MeSH
Avian hypersensitivity Pneumonitis	C34425	NCI
Bird Fancier's Lung	D001716	MeSH
bird breeder's lung	2596-6673	CSP
Bird-fancier's lung	195987000	SNOMED CT
Bird-fanciers' lung	495.2	ICD-9
Epidermoid papilloma	C3712	NCI
Papilloma	D010212	MeSH
squamous cell papilloma (morphologic abnormality)	63451008	SNOMED CT
Hypo-beta-lipoproteinemia (disorder)	190786004	SNOMED CT
Hypobetalipoproteinemias	D006995	MeSH
lecithin acyltransferase deficiency	1849-5422	CSP
Lecithin Cholesterol Acyltransferase Deficiency	D007863	MeSH
Briquet's disorder	300.81	ICD-9
Somatoform Disorders	D013001	MeSH
Somatisation disorder	192431008	SNOMED CT
(Vincent's angina) or (trench mouth)	186960006	SNOMED CT
Gingivitis, Necrotizing Ulcerative	D005892	MeSH
acute necrotising ulcerative gingivitis	186962003	SNOMED CT
acute necrotising ulcerative gingivitis [Ambiguous]	278519005	SNOMED CT
acute necrotising ulcerative gingivostomatitis	186961005	SNOMED CT
acute necrotising ulcerative gingivostomatitis [Ambiguous]	266145002	SNOMED CT
acute necrotizing ulcerative gingivostomatitis (disorder)	173599005	SNOMED CT
acute ulceromembranous gingivitis	399050001	SNOMED CT
early acute necrotising gingivitis	240675006	SNOMED CT
Trench mouth	154391003	SNOMED CT
Vincent's Angina	C34637	NCI
Vincent's angina - pharyngitis (disorder)	186963008	SNOMED CT
Vincent's angina NOS	186964002	SNOMED CT
Vincent's disease	172697005	SNOMED CT
Vincent's infection, any site	101	ICD-9
Blocked lacrimal canaliculus	246865000	SNOMED CT
Lacrimal Duct Obstruction	D007767	MeSH
Obstruction of lacrimal canaliculus	416920000	SNOMED CT
Obstruction of lacrimal ducts	95769009	SNOMED CT
Facial Palsy	C26769	NCI
Facial Paralysis	D005158	MeSH
bladder Schistosomiasis	C35362	NCI
Schistosomiasis haematobia	D012553	MeSH
cystitis with bilharziasis (disorder)	53991003	SNOMED CT
Schistosoma haematobium (& vesical schistosomiasis)	187112004	SNOMED CT
Schistosoma Hematobium Infection	C39294	NCI
Schistosomiasis due to schistosoma haematobium	120.0	ICD-9
Schistosomiasis of bladder	197846004	SNOMED CT
Vesical schistosomiasis	120.0	ICD-9
benign paroxysmal positional vertigo	386.11	ICD-9
Benign Paroxysmal Positional Vertigo	D065635	MeSH
CADASIL	D046589	MeSH
Obstruction of bladder neck or vesicourethral orifice	596.0	ICD-9
Urinary Bladder Neck Obstruction	D001748	MeSH
ulcerative cystitis	111409009	SNOMED CT
Cystitis, Interstitial	D018856	MeSH
Peptic esophagitis	530.1	ICD-9
Esophagitis, Peptic	D004942	MeSH
Peptic reflux disease	57643001	SNOMED CT
reflux esophagitis	1248-5846	CSP
Reflux oesophagitis	196600005	SNOMED CT
Cleidocranial Dysplasia	D002973	MeSH
Alcoholic Cirrhosis	C34782	NCI
Liver Cirrhosis, Alcoholic	D008104	MeSH
Alcoholic cirrhosis of liver	571.2	ICD-9
Laennec's cirrhosis	197280008	SNOMED CT
Laennec's cirrhosis, alcoholic	571.2	ICD-9
Portal cirrhosis	235894003	SNOMED CT
Costalchondritis	64109004	SNOMED CT
Tietze's Syndrome	D013991	MeSH
Costochondral junction syndrome	733.6	ICD-9
Costochondritis	203523006	SNOMED CT
Slipping rib syndrome	91226007	SNOMED CT
Tietze's disease	733.6	ICD-9
Polyendocrinopathies, Autoimmune	D016884	MeSH
Autoimmune polyglandular failure	190568004	SNOMED CT
Lloyd's syndrome	258.1	ICD-9
Myasthenia Gravis, Neonatal	D020941	MeSH
Neonatal myasthenia gravis	775.2	ICD-9
Neonatal myasthenia gravis (disorder)	82178003	SNOMED CT
Falciparum Malaria	C34798	NCI
Malaria, Falciparum	D016778	MeSH
Falciparum malaria (disorder)	62676009	SNOMED CT
Falciparum malaria [malignant tertian]	084.0	ICD-9
Malaria fever, subtertian	084.0	ICD-9
malignant tertian fever (finding)	248441000	SNOMED CT
Plasmodium falciparum malaria, unspecified	186802002	SNOMED CT
Plasmodium falciparum malaria, unspecified (disorder)	187504004	SNOMED CT
Black water fever (disorder)	56625005	SNOMED CT
Blackwater Fever	D001742	MeSH
Blackwater fever	084.8	ICD-9
Hemoglobinuric, malaria	084.8	ICD-9
Malarial Hemoglobinuria	C34426	NCI
Malarial encephalitis	186799006	SNOMED CT
Malaria, Cerebral	D016779	MeSH
Tennis Elbow	D013716	MeSH
Lateral epicondylitis	726.32	ICD-9
Cementum caries	30512007	SNOMED CT
Root Caries	D017213	MeSH
Dental caries of root surface	521.08	ICD-9
Root caries	234975001	SNOMED CT
Boutonneuse Fever	D001907	MeSH
African tick typhus (disorder)	266118003	SNOMED CT
South African tick-bite fever (disorder)	415561000	SNOMED CT
Radial styloid tenosynovitis	727.04	ICD-9
De Quervain Disease	D053684	MeSH
Tenosynovitis, de Quervain's	156670001	SNOMED CT
Shock, Septic	D012772	MeSH
Toxic Shock syndrome	C35498	NCI
Toxic shock syndrome	040.82	ICD-9
Toxic shock syndrome (disorder)	18504008	SNOMED CT
TSS	0368-3426	CSP
cervical Symmetrical Lipomatosis	C4392	NCI
Lipomatosis, Multiple Symmetrical	D008069	MeSH
Launois-Bensaude's lipomatosis	272.8	ICD-9
Multiple symmetric lipomatosis	254832003	SNOMED CT
familial hyperchylomicronemia (disorder)	267435002	SNOMED CT
Hyperlipoproteinemia Type I	D008072	MeSH
familial hyperlipoproteinemia type I	1849-4577	CSP
familial lipoprotein lipase deficiency (disorder) [Ambiguous]	34171006	SNOMED CT
familial lipoprotein lipase deficiency with type I phenotype	403827000	SNOMED CT
familial LPL deficiency	238039006	SNOMED CT
Fredrickson type I hyperlipoproteinemia (disorder)	238086005	SNOMED CT
Fredrickson type I lipaemia	190781009	SNOMED CT
hypercholesterinaemic xanthomatosis	275598004	SNOMED CT
hyperchylomicronemia	272.3	ICD-9
mixed hyperglyceridemia	272.3	ICD-9
calculus of ureter	592.1	ICD-9
Ureterolithiasis	D053039	MeSH
Ureteric calculus	155869008	SNOMED CT
Ureteric stone	592.1	ICD-9
Gyrate atrophy of the choroid and/or retina	87126009	SNOMED CT
Gyrate Atrophy	D015799	MeSH
gyrate atrophy of the retina	1849-9719	CSP
Ornithinemia with gyrate atrophy	314466003	SNOMED CT
Neurolipocytoma	128858006	SNOMED CT
Neurocytoma	D018306	MeSH
Hippel Lindau syndrome	5000-0055	CSP
von Hippel-Lindau Disease	D006623	MeSH
von Hippel-Lindau syndrome	759.6	ICD-9
Von Hippel-Lindau syndrome (disorder)	46659004	SNOMED CT
Von Hippel-Lindau syndrome (VHL)	C3105	NCI
Immunoglobin G subclass deficiency	123785006	SNOMED CT
IgG Deficiency	D017099	MeSH
Selective deficiency of IgG	279.03	ICD-9
Selective IgG Immunodeficiency	C27142	NCI
Selective immunoglobulin G deficiency (disorder)	190981001	SNOMED CT
Selective Immunoglobulin G Subclass deficiency	C27024	NCI
Alcohol-related polyneuropathy	155083006	SNOMED CT
Alcoholic Neuropathy	D020269	MeSH
Alcoholic polyneuropathy	357.5	ICD-9
adhesions-capsulitis,shoulder	156658000	SNOMED CT
Bursitis	D002062	MeSH
Adhesive capsulitis of shoulder	726.0	ICD-9
Dihydropyrimidine dehydrogenase deficiency (disorder)	238016000	SNOMED CT
Dihydropyrimidine Dehydrogenase Deficiency	D054067	MeSH
Dihydrouracil Dehydrogenase deficiency	C3964	NCI
familial pyrimidinaemia	77365006	SNOMED CT
Metabolic Syndrome	D024821	MeSH
dysmetabolic syndrome X	5003-0027	CSP
Azoospermia	D053713	MeSH
Complete trisomy 21 syndrome (disorder)	41040004	SNOMED CT
Down Syndrome	D004314	MeSH
Down's syndrome	157019002	SNOMED CT
Down's syndrome - trisomy 21	205614001	SNOMED CT
Downs syndrome	C2993	NCI
G Trisomy	758.0	ICD-9
trisomy 21 syndrome	1254-8068	CSP
adult onset Still's disease	201815006	SNOMED CT
Still's Disease, Adult-Onset	D016706	MeSH
Fragile X Syndrome	D005600	MeSH
Candidiasis of mouth	112.0	ICD-9
Candidiasis, Oral	D002180	MeSH
Oral moniliasis	187006006	SNOMED CT
thrush	C28137	NCI
Thrush, oral	112.0	ICD-9
Epilepsy, Benign Neonatal	D020936	MeSH
Pulmonary Valve Insufficiency	D011665	MeSH
pulmonary incompetence, non-rheumatic (disorder)	194995005	SNOMED CT
pulmonary regurg.	266299004	SNOMED CT
Pulmonic insufficiency NOS	424.3	ICD-9
Pulmonic valve regurgitation (disorder)	91434003	SNOMED CT
fibrosing cholangitis	5000-0057	CSP
Cholangitis, Sclerosing	D015209	MeSH
Impingement syndrome of shoulder region	366831005	SNOMED CT
Shoulder Impingement Syndrome	D019534	MeSH
Impingement syndrome of shoulder region (disorder)	239960007	SNOMED CT
Shoulder impingement syndrome (disorder) [Ambiguous]	128498000	SNOMED CT
Subacromial impingement (disorder)	202849001	SNOMED CT
Pachydermoperiostosis of nail	201124000	SNOMED CT
Osteoarthropathy, Primary Hypertrophic	D010004	MeSH
Pachydermoperiostosis of nail (disorder)	223726008	SNOMED CT
Pachydermoperiostosis of nail [Ambiguous]	239052008	SNOMED CT
Pachydermoperiostosis syndrome (disorder)	88220006	SNOMED CT
Arthropathy associated with neurological disorder	713.5	ICD-9
Arthropathy, Neurogenic	D001177	MeSH
Charcot's arthropathy	239824003	SNOMED CT
Neuropathic arthropathy (& Charcot's)	201734004	SNOMED CT
Ebstein's anomaly	746.2	ICD-9
Ebstein Anomaly	D004437	MeSH
Ebstein's anomaly (disorder) [Ambiguous]	1796006	SNOMED CT
Ebstein's anomaly of common atrioventricular valve (disorder)	253443005	SNOMED CT
Ebstein's anomaly of right atrioventricular valve (disorder)	253468007	SNOMED CT
Ebstein's anomaly of tricuspid valve (disorder)	204357006	SNOMED CT
LEOPARD Syndrome	D044542	MeSH
Generalized lentiginosis (disorder)	403537000	SNOMED CT
Multiple lentigines syndrome (disorder)	111306001	SNOMED CT
Tuberculous empyema (& pleural)	186184002	SNOMED CT
Empyema, Tuberculous	D004654	MeSH
Angiolymphoid Cutaneous hyperplasia	C7393	NCI
Angiolymphoid Hyperplasia with Eosinophilia	D000796	MeSH
epithelioid hemangioma of skin (disorder)	400131007	SNOMED CT
Marfan's syndrome	268359006	SNOMED CT
Marfan Syndrome	D008382	MeSH
paralysis agitans	2057-3689	CSP
Parkinson Disease	D010300	MeSH
Postencephalitic Parkinsonism	C34898	NCI
Parkinson Disease, Postencephalitic	D010301	MeSH
Postencephalitic parkinsonism	192828004	SNOMED CT
Postencephalitic parkinsonism (disorder)	19972008	SNOMED CT
acute suppurative thyroiditis (disorder)	25476006	SNOMED CT
Thyroiditis, Suppurative	D013969	MeSH
Infectious thyroiditis (disorder)	3511005	SNOMED CT
Suppurative thyroiditis	245.0	ICD-9
Pus cells in urine	144593007	SNOMED CT
Pyuria	D011776	MeSH
Azorean disease	91952008	SNOMED CT
Machado-Joseph Disease	D017827	MeSH
Capillary leak syndrome (disorder)	87730004	SNOMED CT
Capillary Leak Syndrome	D019559	MeSH
Spinocerebellar Ataxias	D020754	MeSH
Calve - Perthes' disease	203367009	SNOMED CT
Legg-Calve-Perthes Disease	D007873	MeSH
Coxa plana	203371007	SNOMED CT
Juvenile osteochondrosis of hip and/or pelvis (disorder)	15739006	SNOMED CT
osteochondrosis of Legg-Calve-Perthes	732.1	ICD-9
Perthe's disease	156817009	SNOMED CT
Perthes disease	C34766	NCI
Pseudocoxalgia	15739006	SNOMED CT
pseudocoxalgia	2715-2772	CSP
Dracontiasis	125.7	ICD-9
Dracunculiasis	D004320	MeSH
Infection by Dracunculus medinensis	125.7	ICD-9
Infection by Dracunculus medinensis (disorder)	48874008	SNOMED CT
Dipetalonema Infections	D004154	MeSH
Infection by Dipetalonema (disorder)	15629006	SNOMED CT
Infection by Dipetalonema perstans	125.4	ICD-9
Infection by Dipetalonema perstans (disorder)	360423002	SNOMED CT
Infection by Dipetalonema perstans (disorder) [Ambiguous]	40229007	SNOMED CT
Glossopharyngeal neuralgia	352.1	ICD-9
Glossopharyngeal Nerve Diseases	D020435	MeSH
Glossopharyngeal neuralgia (disorder)	43763009	SNOMED CT
Gonadal dysgenesis syndrome	38804009	SNOMED CT
Gonadal Dysgenesis	D006059	MeSH
Gonadal Dysgenesis, 46,XY	D006061	MeSH
Pure gonadal dysgenesis 46,XY	95218005	SNOMED CT
familial hyperkalemic periodic paralysis (disorder)	304737009	SNOMED CT
Paralysis, Hyperkalemic Periodic	D020513	MeSH
familial hyperkalemic periodic paralysis (disorder) [Ambiguous]	15973007	SNOMED CT
hyperkalemic periodic paralysis (disorder)	278513006	SNOMED CT
familial hypokalemic periodic paralysis (disorder)	82732003	SNOMED CT
Hypokalemic Periodic Paralysis	D020514	MeSH
familial periodic paralysis (& [hypokalaemic])	193241004	SNOMED CT
Hypokalemic familial periodic paralysis	359.3	ICD-9
Hypokalemic periodic paralysis (disorder)	240093008	SNOMED CT
periodic hypokalemic paralysis	1849-3266	CSP
Periodic paralysis I	54696002	SNOMED CT
Farmer's Lung	D005203	MeSH
Farmers lung	266399001	SNOMED CT
Gestational herpes	270959002	SNOMED CT
Pemphigoid Gestationis	D006559	MeSH
Herpes gestationis	646.8	ICD-9
Herpes gestationis (disorder)	86081009	SNOMED CT
Herpes gestationis NOS (disorder)	199131000	SNOMED CT
Herpes gestationis unspecified (disorder)	199126002	SNOMED CT
Chorea gravidarum (disorder)	25113000	SNOMED CT
Chorea Gravidarum	D020150	MeSH
Dumping (jejunal) syndrome	197128007	SNOMED CT
Dumping Syndrome	D004377	MeSH
Jejunal syndrome	564.2	ICD-9
Acid esterase deficiency	190795007	SNOMED CT
Wolman Disease	D015223	MeSH
Acid lipase deficiency	37896002	SNOMED CT
Wolman xanthomatosis	1849-5821	CSP
Wolman's disease	82500001	SNOMED CT
Wolman's or triglyceride storage type III disease	272.7	ICD-9
Xanthomatosis, familial	238074007	SNOMED CT
Lipid proteinosis (disorder)	38692000	SNOMED CT
Lipoid Proteinosis of Urbach and Wiethe	D008065	MeSH
Lipoid proteinosis	238950006	SNOMED CT
alpha galactosidase deficiency	1849-9034	CSP
Fabry Disease	D000795	MeSH
Alpha-galactosidase A deficiency	236536000	SNOMED CT
Angiokeratoma Corporis Diffusum	C27528	NCI
deficiency of melibiase	124464003	SNOMED CT
Fabry's disease	272.7	ICD-9
A-fucosidase deficiency	190937009	SNOMED CT
Fucosidosis	D005645	MeSH
alpha fucosidase deficiency	1849-8519	CSP
Sjogren Larsson syndrome	0726-9470	CSP
Sjogren-Larsson Syndrome	D016111	MeSH
Sjogren-Larsson syndrome (disorder)	111303009	SNOMED CT
Sjogren-Larsson's syndrome	205549003	SNOMED CT
hereditary ceroid lipofuscinosis	1849-6833	CSP
Neuronal Ceroid-Lipofuscinoses	D009472	MeSH
lipoid histiocytosis (classical phosphatide)	1849-9151	CSP
Niemann-Pick Diseases	D009542	MeSH
11p partial monosomy syndrome (disorder)	4135001	SNOMED CT
WAGR Syndrome	D017624	MeSH
Wilms tumor-Aniridia-Genitourinary Anomalies-Mental Retardation syndrome	C3718	NCI
Reye's syndrome	267688001	SNOMED CT
Reye Syndrome	D012202	MeSH
Glossitis, Benign Migratory	D005929	MeSH
Glossitis areata exfoliativa	529.1	ICD-9
Pityriasis linguae	59032001	SNOMED CT
Thyroid deficiency	190274003	SNOMED CT
Hypothyroidism	D007037	MeSH
Thyroid insufficiency	190290003	SNOMED CT
Embolism, Cholesterol	D017700	MeSH
Silver-Russell Syndrome	D056730	MeSH
Smith-Lemli-Opitz Syndrome	D019082	MeSH
Smith-Opitz-Inborn syndrome	5002-0023	CSP
Ectodermal Dysplasia	D004476	MeSH
Clouston's syndrome	1254-7727	CSP
Hidrotic ectodermal dysplasia syndrome (disorder)	54209007	SNOMED CT
Galactosemia II	18612007	SNOMED CT
Galactosemias	D005693	MeSH
Depressive Disorder, Major	D003865	MeSH
Propionic Acidemia	D056693	MeSH
Branchio-Oto-Renal Syndrome	D019280	MeSH
Branchio-otorenal dysplasia	205806009	SNOMED CT
Melnick-Fraser syndrome (disorder)	290006	SNOMED CT
myotubular myopathy	359.0	ICD-9
Myopathies, Structural, Congenital	D020914	MeSH
HANE	1849-1576	CSP
Angioedemas, Hereditary	D054179	MeSH
Hereditary angioedema	277.6	ICD-9
Hereditary angioneurotic edema (disorder)	82966003	SNOMED CT
juvenile periodontitis	0828-4592	CSP
Aggressive Periodontitis	D010520	MeSH
Sotos Syndrome	D058495	MeSH
benign lymphangioma (morphologic abnormality)	253057002	SNOMED CT
Lymphangioma	D008202	MeSH
Congenital lymphangioma	189200000	SNOMED CT
Argininosuccinate lyase deficiency (disorder)	41013004	SNOMED CT
Argininosuccinic Aciduria	D056807	MeSH
arginosuccinase deficiency	1849-9435	CSP
deficiency of argininosuccinate lyase (disorder)	124630007	SNOMED CT
Dejerine-Thomas syndrome	333.0	ICD-9
Olivopontocerebellar Atrophies	D009849	MeSH
Thomas' syndrome	37250002	SNOMED CT
Leber Congenital Amaurosis	D057130	MeSH
Leber's amaurosis	193413001	SNOMED CT
Leber's congenital amaurosis	1114-9698	CSP
Leber's disease	5000-0048	CSP
Ectodermal Dysplasia 1, Anhidrotic	D053358	MeSH
Hypohidrotic X-linked ectodermal dysplasia (disorder)	239007005	SNOMED CT
Cystic Fibrosis	D003550	MeSH
Echinococcosis	D004443	MeSH
Echinococcosis of liver (disorder)	26103000	SNOMED CT
Echinococcosis, unspecified, of liver	122.8	ICD-9
Echinococcosis, unspecified, of liver (disorder)	187523006	SNOMED CT
hepatic echinococcosis	1754-8052	CSP
Liver echinococcus unspecified (disorder)	187142001	SNOMED CT
(Cholera) or (Vibrio cholerae)	186087007	SNOMED CT
Cholera	D002771	MeSH
Cholera - Vibrio cholerae (disorder)	186088002	SNOMED CT
Cholera due to Vibrio cholerae	001.0	ICD-9
Disseminated candidiasis	112.5	ICD-9
Candidiasis	D002177	MeSH
Personality Disorders	D010554	MeSH
cecum neoplasm	C4433	NCI
Cecal Neoplasms	D002430	MeSH
neoplasm of caecum	126839008	SNOMED CT
disorder of cecum (disorder)	128525008	SNOMED CT
Cecal Diseases	D002429	MeSH
nodular non-suppurative febrile panniculitis	203121003	SNOMED CT
Panniculitis, Nodular Nonsuppurative	D010201	MeSH
Relapsing febrile nodular nonsuppurative panniculitis (disorder)	33760009	SNOMED CT
Weber - Christian disease	203120002	SNOMED CT
Weber-Christian disease	729.30	ICD-9
disorder of pleura	88075009	SNOMED CT
Pleural Diseases	D010995	MeSH
Mixed Tumor, Malignant	D018198	MeSH
malignant mixed neoplasm	C3729	NCI
mixed tumor	C6930	NCI
mixed tumor, malignant (morphologic abnormality)	8145008	SNOMED CT
mixed tumor, malignant, NOS (morphologic abnormality)	189802003	SNOMED CT
carcinoma of Parathyroid gland	C4906	NCI
Parathyroid Neoplasms	D010282	MeSH
malignant neoplasm of the Parathyroid	C9322	NCI
malignant tumor of parathyroid gland (disorder)	363481002	SNOMED CT
neoplasm of parathyroid gland	127020005	SNOMED CT
Parathyroid gland neoplasm	C3313	NCI
parathyroid neoplasm	2009-6398	CSP
Arthus Phenomenon	C34400	NCI
Arthus Reaction	D001183	MeSH
Arthus phenomenon	1524-9024	CSP
Arthus reaction (function)	29548007	SNOMED CT
Arthus type urticaria	402413008	SNOMED CT
immune complex disease	1560-5864	CSP
Immune Complex Diseases	D007105	MeSH
Angioedema	D000799	MeSH
Angioneurotic oedema	269433002	SNOMED CT
giant urticaria	1849-1576	CSP
Quincke's edema	82966003	SNOMED CT
Neurocognitive Disorders	D019965	MeSH
Chromomycosis	117.2	ICD-9
Chromoblastomycosis	D002862	MeSH
Mossy foot disease (disorder)	252402000	SNOMED CT
Mycoses	D009181	MeSH
Ectropion of eyelid	62909004	SNOMED CT
Ectropion	D004483	MeSH
Everted margin	127559009	SNOMED CT
Low pressure hydrocephalus	69663004	SNOMED CT
Hydrocephalus, Normal Pressure	D006850	MeSH
Ethanol abuse	304606004	SNOMED CT
Alcoholism	D000437	MeSH
Limited cutaneous systemic sclerosis	298285004	SNOMED CT
Scleroderma, Limited	D045745	MeSH
systemic sclerosis, limited	128459005	SNOMED CT
diffuse systemic sclerosis	4008-0097	CSP
Scleroderma, Diffuse	D045743	MeSH
systemic sclerosis, diffuse (disorder)	128460000	SNOMED CT
acute chest syndrome in sickle cell disease	372146004	SNOMED CT
Acute Chest Syndrome	D056586	MeSH
ACUTE RHEUMATIC FEVER	390-392.99	ICD-9
Rheumatic Fever	D012213	MeSH
RhF - Rheumatic fever	274095001	SNOMED CT
Renovascular hypertension (disorder)	123799005	SNOMED CT
Hypertension, Renovascular	D006978	MeSH
clinical depression	2483-6681	CSP
Depressive Disorder	D003866	MeSH
Lymphadenitis	D008199	MeSH
Adenitis	C26821	NCI
chronic Lymphadenitis	C26966	NCI
Inflammation of lymph node	274737001	SNOMED CT
breast tumor	C2910	NCI
Breast Neoplasms	D001943	MeSH
malignant tumor of the breast	C9335	NCI
mammary tumor	2016-0671	CSP
Breast Neoplasms, Male	D018567	MeSH
neoplasm of male breast (disorder)	126937006	SNOMED CT
cellular Fibroadenoma	C4276	NCI
Fibroadenoma	D018226	MeSH
Complex Fibroadenoma of breast	C5194	NCI
Fibroadenoma of breast (disorder)	254845004	SNOMED CT
Juvenile fibroadenoma (morphologic abnormality)	46212000	SNOMED CT
Neoplasms	D009369	MeSH
ductal papilloma	C3785	NCI
Papilloma, Intraductal	D018300	MeSH
Intraductal papilloma (morphologic abnormality)	5244003	SNOMED CT
Phyllodes Tumor	D003557	MeSH
