disease_id	name	code	name
DIS006530	Bronchospasm	1715	DiseasesDB
DIS003616	Brown tumor	30721	DiseasesDB
DIS006909	Brown's syndrome	34071	DiseasesDB
DIS005275	Brown-Séquard syndrome	31117	DiseasesDB
DIS005433	Brucellosis	000597	MedlinePlus
DIS006324	Brugada syndrome	31999	DiseasesDB
DIS004369	Bruise	007213	MedlinePlus
DIS004266	Bruit	29151	DiseasesDB
DIS006638	Brunner syndrome	300615	OMIM
DIS006387	Bruns apraxia	D020235	MeSH
DIS007093	Bubonic plague	000596	MedlinePlus
DIS006132	Budd–Chiari syndrome	000239	MedlinePlus
DIS003485	Bulbar palsy	16043	DiseasesDB
DIS004036	Bulimia nervosa	000341	MedlinePlus
DIS003994	Bullous keratopathy	32601	DiseasesDB
DIS007362	Bullous pemphigoid	000883	MedlinePlus
DIS005794	Bundle branch block	426.3	ICD-9-CM
DIS006060	Bunion	001231	MedlinePlus
DIS004461	Burkitt's lymphoma	001308	MedlinePlus
DIS003554	Burn	000030	MedlinePlus
DIS003171	Burning feet syndrome	266.2	ICD-9-CM
DIS004840	Burning mouth syndrome	529.6	ICD-9-CM
DIS007012	Bursitis	000419	MedlinePlus
DIS003286	Buruli ulcer	031.1	ICD-9-CM
DIS005333	Buschke–Ollendorff syndrome	1306	Orphanet
DIS007510	Byssinosis	001089	MedlinePlus
DIS006247	CADASIL	125310	OMIM
DIS004730	Café au lait spot	114030	OMIM
DIS005425	Calcaneal fracture	825.0	ICD-9-CM
DIS007056	Calcaneal spur	10467	DiseasesDB
DIS004172	Calcific tendinitis	727.82	ICD-9-CM
DIS007288	Calcifying odontogenic cyst	D018333	MeSH
DIS005114	Calcinosis cutis	1896	DiseasesDB
DIS006505	Calciphylaxis	1897	DiseasesDB
DIS006155	Calcium channel blocker toxicity	002580	MedlinePlus
DIS006807	Callus	700	ICD-9-CM
DIS004393	CAMFAK syndrome	1317	Orphanet
DIS006052	Campomelic dysplasia	114290	OMIM
DIS003856	Camptodactyly	114200	OMIM
DIS007628	Campylobacteriosis	000224	MedlinePlus
DIS003363	Camurati–Engelmann disease	131300	OMIM
DIS003473	Canavan disease	001586	MedlinePlus
DIS004014	Cancer	001289	MedlinePlus
DIS004573	Cancer of unknown primary origin	199.1	ICD-9-CM
DIS005684	Candidiasis	001511	MedlinePlus
DIS005531	Capgras delusion	32606	DiseasesDB
DIS006966	Capillary leak syndrome	188	Orphanet
DIS005511	Caplan's syndrome	000137	MedlinePlus
DIS003637	Carbamoyl phosphate synthetase I deficiency	237300	OMIM
DIS007383	Carbon monoxide poisoning	986	ICD-9-CM
DIS005946	Carbuncle	000825	MedlinePlus
DIS004875	Carcinoid	000347	MedlinePlus
DIS005208	Carcinoid syndrome	000347	MedlinePlus
DIS005908	Carcinoma	D002277	MeSH
DIS005887	Carcinosarcoma	D002296	MeSH
DIS006206	Cardiac fibroma	article/161239	eMedicine
DIS001381	Cardiac myxoma	007273	MedlinePlus
DIS003447	Cardiac tamponade	000194	MedlinePlus
DIS006259	Cardiogenic shock	000185	MedlinePlus
DIS006376	Cardiomegaly	30769	DiseasesDB
DIS007547	Cardiomyopathy	001105	MedlinePlus
DIS005323	Cardiorenal syndrome	404.90	ICD-9-CM
DIS007042	Cardiovascular disease	28808	DiseasesDB
DIS005445	Carney complex	160980	OMIM
DIS003897	Carnitine palmitoyltransferase I deficiency	255120	OMIM
DIS005162	Carnitine palmitoyltransferase II deficiency	255110	OMIM
DIS005732	Carnitine-acylcarnitine translocase deficiency	159	Orphanet
DIS004700	Carnosinemia	212200	OMIM
DIS004423	Caroli disease	263200	OMIM
DIS004947	Carotenosis	709.00	ICD-9-CM
DIS003565	Carotid artery dissection	2145	DiseasesDB
DIS004648	Carotid artery stenosis	007427	MedlinePlus
DIS006240	Carotid-cavernous fistula	2152	DiseasesDB
DIS004821	Carpenter syndrome	201000	OMIM
DIS006511	Carrion's disease	088	ICD-9-CM
DIS005199	Cartilage–hair hypoplasia	175	Orphanet
DIS006691	Caspase-8 deficiency	275517	Orphanet
DIS003304	Cat eye syndrome	115470	OMIM
DIS006453	Cat-scratch disease	001614	MedlinePlus
DIS005842	Catalepsy	295.2	ICD-9-CM
DIS005161	Cataplexy	16311	DiseasesDB
DIS003288	Cataract	001001	MedlinePlus
DIS005058	Cataract-microcornea syndrome	116150	OMIM
DIS005461	Catatonia	293.89	ICD-9-CM
DIS004219	Catecholaminergic polymorphic ventricular tachycardia	33816	DiseasesDB
DIS006111	Cauda equina syndrome	31115	DiseasesDB
DIS004836	Caudal regression syndrome	3027	Orphanet
DIS004767	Cauliflower ear	738.7	ICD-9-CM
DIS000072	Cavernous hemangioma	D006392	MeSH
DIS013448	Cavernous liver hemangioma	000243	MedlinePlus
DIS007246	Cavernous sinus thrombosis	001628	MedlinePlus
DIS007321	CD25 deficiency	169100	Orphanet
DIS001037	Cellulite	002033	MedlinePlus
DIS006433	Cellulitis	000855	MedlinePlus
DIS003847	Cementoblastoma	213.0	ICD-9-CM
DIS003413	Central cord syndrome	33409	DiseasesDB
DIS007437	Central core disease	117000	OMIM
DIS005219	Central diabetes insipidus	253.5	ICD-9-CM
DIS005174	Central facial palsy	351	ICD-9-CM
DIS004289	Central giant-cell granuloma	526.3	ICD-9-CM
DIS007007	Central nervous system cavernous hemangioma	228.0x	ICD-9-CM
DIS003419	Central nervous system cyst	348.0	ICD-9-CM
DIS006547	Central nervous system disease	D002493	MeSH
DIS005145	Central neurocytoma	D018306	MeSH
DIS007487	Central pain syndrome	338.0	ICD-9-CM
DIS004309	Central pontine myelinolysis	D017590	MeSH
DIS000771	Central retinal artery occlusion	article/1223625	eMedicine
DIS004728	Central serous retinopathy	001612	MedlinePlus
DIS004769	Central sleep apnea	000078	MedlinePlus
DIS004154	Centronuclear myopathy	160150	OMIM
DIS005755	Cephalohematoma	767.19	ICD-9-CM
DIS007085	Cephalopelvic disproportion	2203	DiseasesDB
DIS004808	Cerebellar hypoplasia	1398	Orphanet
DIS006128	Cerebellopontine angle syndrome	191.6	ICD-9-CM
DIS005360	Cerebral amyloid angiopathy	000719	MedlinePlus
DIS004942	Cerebral arteriovenous malformation	000779	MedlinePlus
DIS004416	Cerebral dysgenesis–neuropathy–ichthyosis–keratoderma syndrome	609528	OMIM
DIS005172	Cerebral edema	2227	DiseasesDB
DIS005889	Cerebral hypoxia	001435	MedlinePlus
DIS003256	Cerebral infarction	434.01	ICD-9-CM
DIS003386	Cerebral laceration	851	ICD-9-CM
DIS003670	Cerebral salt-wasting syndrome	32234	DiseasesDB
DIS005014	Cerebral softening	348.89	ICD-9-CM
DIS003820	Cerebral venous sinus thrombosis	2242	DiseasesDB
DIS006700	Cerebroretinal microangiopathy with calcifications and cysts	612199	OMIM
DIS005105	Cerebrotendineous xanthomatosis	213700	OMIM
DIS007537	Cerebrovascular disease	D002561	MeSH
DIS007310	Cervical agenesis	752.43	ICD-9-CM
DIS006449	Cervical cancer	000893	MedlinePlus
DIS006675	Cervical ectropion	2288	DiseasesDB
DIS003411	Cervical fracture	000029	MedlinePlus
DIS003598	Cervical intraepithelial neoplasia	001491	MedlinePlus
DIS005990	Cervical polyp	001494	MedlinePlus
DIS004921	Cervical pregnancy	633.80	ICD-9-CM
DIS009006	Cervical weakness	2292	DiseasesDB
DIS003534	Cervicitis	001495	MedlinePlus
DIS006196	Chagas disease	001372	MedlinePlus
DIS006527	Chalazion	001006	MedlinePlus
DIS005283	Chance fracture	orthoped/41	eMedicine
DIS004790	Channelopathy	D053447	MeSH
DIS006711	Charcot–Marie–Tooth disease	000727	MedlinePlus
DIS004198	CHARGE syndrome	214800	OMIM
DIS006451	Charley horse	002066	MedlinePlus
DIS007511	Chédiak–Higashi syndrome	001312	MedlinePlus
DIS003863	Chemical burn	000059	MedlinePlus
DIS001386	Chemical pneumonitis	000143	MedlinePlus
DIS003510	Chemotherapy-induced acral erythema	34044	DiseasesDB
DIS013447	Cherry angioma	001441	MedlinePlus
DIS005423	Cherubism	001234	MedlinePlus
DIS001489	Chest pain in children	003079	MedlinePlus
DIS004774	Chiari malformation	207950	OMIM
DIS003835	Chickenpox	001592	MedlinePlus
DIS005191	Chikungunya	065.4	ICD-9-CM
DIS003699	Chilaiditi syndrome	32496	DiseasesDB
DIS004541	Chilblains	31219	DiseasesDB
DIS006291	CHILD syndrome	308050	OMIM
DIS006364	Childhood arthritis	714.30	ICD-9-CM
DIS005782	Childhood disintegrative disorder	001535	MedlinePlus
DIS005514	Childhood obesity	003101	MedlinePlus
DIS006618	Chloracne	31706	DiseasesDB
DIS006751	Chlorine gas poisoning	T59.4	ICD-10
DIS006506	Choanal atresia	001642	MedlinePlus
DIS005663	Choking	784.9	ICD-9-CM
DIS004510	Cholangiocarcinoma	000291	MedlinePlus
DIS005103	Cholecystitis	000264	MedlinePlus
DIS006461	Choledochal cysts	2527	DiseasesDB
DIS007290	Cholera	000303	MedlinePlus
DIS004998	Cholestasis	000215	MedlinePlus
DIS006780	Cholesteatoma	001050	MedlinePlus
DIS005038	Cholesterol embolism	2567	DiseasesDB
DIS007203	Cholinergic urticaria	29573	DiseasesDB
DIS005452	Chondroblastoma	31489	DiseasesDB
DIS005348	Chondroma	213.9	ICD-9-CM
DIS004294	Chondromalacia patellae	000452	MedlinePlus
DIS007242	Chorangioma	D006391	MeSH
DIS004956	Chordee	752.63	ICD-9-CM
DIS005121	Chordoma	215400	OMIM
DIS005250	Chorea	16662	DiseasesDB
DIS005719	Chorea acanthocytosis	200150	OMIM
DIS007536	Chorea gravidarum	D020150	MeSH
DIS004290	Chorioamnionitis	31882	DiseasesDB
DIS002818	Choriocarcinoma	001496	MedlinePlus
DIS006410	Choroid plexus papilloma	191.5	ICD-9-CM
DIS006211	Choroideremia	2619	DiseasesDB
DIS004339	Chromhidrosis	30737	DiseasesDB
DIS005480	Chromium deficiency	2625	DiseasesDB
DIS003940	Chromoblastomycosis	117.2	ICD-9-CM
DIS003668	Chromosome 5q deletion syndrome	153550	OMIM
DIS004473	Chronic atrophic rhinitis	001627	MedlinePlus
DIS006685	Chronic bacterial prostatitis	000523	MedlinePlus
DIS005056	Chronic cerebrospinal venous insufficiency	D014689	MeSH
DIS002774	Chronic eosinophilic leukemia	168940	Orphanet
DIS004100	Chronic fatigue syndrome	001244	MedlinePlus
DIS006051	Chronic granulomatous disease	001239	MedlinePlus
DIS003601	Chronic inflammatory demyelinating polyneuropathy	139393	OMIM
DIS003797	Chronic kidney disease	000471	MedlinePlus
DIS005211	Chronic lymphocytic leukemia	000532	MedlinePlus
DIS006220	Chronic mucocutaneous candidiasis	114580	OMIM
DIS006565	Chronic myelomonocytic leukemia	205.1	ICD-9-CM
DIS006602	Chronic neutrophilic leukemia	205.1	ICD-9-CM
DIS003436	Chronic obstructive pulmonary disease	000091	MedlinePlus
DIS003850	Chronic pain	338.2	ICD-9-CM
DIS005683	Chronic pancreatitis	000221	MedlinePlus
DIS003761	Chronic paroxysmal hemicrania	30782	DiseasesDB
DIS007489	Chronic periodontitis	29362	DiseasesDB
DIS005413	Chronic progressive external ophthalmoplegia	157640	OMIM
DIS005018	Chronic prostatitis/chronic pelvic pain syndrome	000524	MedlinePlus
DIS000808	Chronic pulmonary aspergillosis	B44.0	ICD-10
DIS007110	Chronic recurrent multifocal osteomyelitis	259680	OMIM
DIS004798	Chronic traumatic encephalopathy	D000070627	MeSH
DIS006503	Chronic venous insufficiency	000203	MedlinePlus
DIS006796	Chylomicron retention disease	246700	OMIM
DIS003229	Chylothorax	29612	DiseasesDB
DIS006418	Cicatricial pemphigoid	164185	OMIM
DIS004963	Circadian rhythm sleep disorder	327.3	ICD-9-CM
DIS007495	Circulatory collapse	R57.9	ICD-10
DIS007212	Cirrhosis	000255	MedlinePlus
DIS006739	Citrullinemia	215700	OMIM
DIS003926	Claude's syndrome	33869	DiseasesDB
DIS005285	Clavicle fracture	001588	MedlinePlus
DIS006954	Clear-cell adenocarcinoma of the vagina	2786	DiseasesDB
DIS006967	Clear-cell sarcoma	D018227	MeSH
DIS006769	Cleidocranial dysostosis	001589	MedlinePlus
DIS004656	Clostridial necrotizing enteritis	005.2	ICD-9-CM
DIS010304	Clostridioides difficile infection	000259	MedlinePlus
DIS004978	Clouston's hidrotic ectodermal dysplasia	129500	OMIM
DIS003713	Clubfoot	001228	MedlinePlus
DIS004696	Cluster headache	000786	MedlinePlus
DIS005046	Coagulopathy	286	ICD-9-CM
DIS003474	Coarctation of the aorta	000191	MedlinePlus
DIS004926	Cobb syndrome	32587	DiseasesDB
DIS005185	Cocaine dependence	304.2	ICD-9-CM
DIS007035	Coccidioidomycosis	001322	MedlinePlus
DIS006964	Coccydynia	32571	DiseasesDB
DIS004443	Cockayne syndrome	133540	OMIM
DIS005635	Coeliac disease	000233	MedlinePlus
DIS007350	Coffin–Lowry syndrome	2934	DiseasesDB
DIS004360	Coffin–Siris syndrome	135900	OMIM
DIS004714	Cogan syndrome	1467	Orphanet
DIS004487	Cognitive deficit	9266	DiseasesDB
DIS006961	Cohen syndrome	216550	OMIM
DIS006064	Cold agglutinin disease	283.0	ICD-9-CM
DIS003354	Cold urticaria	120100	OMIM
DIS003600	Colitis	001125	MedlinePlus
DIS006704	Collagenous colitis	2955	DiseasesDB
DIS005035	Colloid cyst	D056364	MeSH
DIS003707	Coloboma	003318	MedlinePlus
DIS007564	Coloboma of optic nerve	120430	OMIM
DIS004328	Colorado tick fever	000675	MedlinePlus
DIS004458	Colorectal cancer	000262	MedlinePlus
DIS004641	Combat stress reaction	D003130	MeSH
DIS007385	Combined hyperlipidemia	000396	MedlinePlus
DIS007078	Combined small-cell lung carcinoma	007194	MedlinePlus
DIS003454	Common cold	000678	MedlinePlus
DIS004877	Commotio cordis	35055	DiseasesDB
DIS005725	Communication disorder	315.3	ICD-9-CM
DIS003678	Compartment syndrome	001224	MedlinePlus
DIS005012	Complement deficiency	120820	OMIM
DIS003083	Complex and mixed tumor	D018193	MeSH
DIS007365	Complex partial status epilepticus	D013226	MeSH
DIS003332	Complex regional pain syndrome	007184	MedlinePlus
DIS000858	Compulsive hoarding	D000067836	MeSH
DIS006333	Concussion	000799	MedlinePlus
DIS003922	Conduct disorder	000919	MedlinePlus
DIS003928	Conduction aphasia	D018886	MeSH
DIS005062	Cone dystrophy	300085	OMIM
DIS007323	Congenital absence of the vas deferens	277180	OMIM
DIS004715	Congenital adrenal hyperplasia due to 11β-hydroxylase deficiency	202010	OMIM
DIS006262	Congenital adrenal hyperplasia due to 21-hydroxylase deficiency	1854	DiseasesDB
DIS004451	Congenital afibrinogenemia	001313	MedlinePlus
DIS005258	Congenital amegakaryocytic thrombocytopenia	287.33	ICD-9-CM
DIS003659	Congenital cataract	001615	MedlinePlus
DIS005225	Congenital contractural arachnodactyly	121050	OMIM
DIS005852	Congenital cytomegalovirus infection	001343	MedlinePlus
DIS006222	Congenital diaphragmatic hernia	001135	MedlinePlus
DIS005939	Congenital disorder of glycosylation	2012	DiseasesDB
DIS007286	Congenital distal spinal muscular atrophy	600175	OMIM
DIS004096	Congenital dyserythropoietic anemia	285.8	ICD-9-CM
DIS006151	Congenital fourth nerve palsy	378.53	ICD-9-CM
DIS006571	Congenital generalized lipodystrophy	269700	OMIM
DIS003327	Congenital heart defect	001114	MedlinePlus
DIS003993	Congenital hepatic fibrosis	C562378 C562378, C562378	MeSH
DIS003573	Congenital hyperinsulinism	251.1	ICD-9-CM
DIS003980	Congenital hypothyroidism	001193	MedlinePlus
DIS007054	Congenital ichthyosiform erythroderma	242100	OMIM
DIS005869	Congenital insensitivity to pain	147430	OMIM
DIS005661	Congenital insensitivity to pain with anhidrosis	256800	OMIM
DIS009743	Congenital iodine deficiency syndrome	243	ICD-9-CM
DIS003370	Congenital melanocytic nevus	D22	ICD-10
DIS002928	Congenital mirror movement disorder	157600	OMIM
DIS004800	Congenital muscular dystrophy	article/1180214	eMedicine
DIS005297	Congenital myopathy	359.0	ICD-9-CM
DIS006924	Congenital nephrotic syndrome	001576	MedlinePlus
DIS006559	Congenital pulmonary airway malformation	32408	DiseasesDB
DIS006357	Congenital rubella syndrome	001658	MedlinePlus
DIS005557	Congenital stenosis of vena cava	747.49	ICD-9-CM
DIS004349	Congenital syphilis	001344	MedlinePlus
DIS005122	Congestive hepatopathy	573.8	ICD-9-CM
DIS007187	Conjugate gaze palsy	19291	DiseasesDB
DIS005751	Conjunctival squamous cell carcinoma	190.3	ICD-9-CM
DIS004301	Conjunctivitis	001010	MedlinePlus
DIS006057	Conjunctivochalasis	372.81	ICD-9-CM
DIS010953	Constriction ring syndrome	001579	MedlinePlus
DIS006766	Constrictive pericarditis	001103	MedlinePlus
DIS004324	Contact dermatitis	000869	MedlinePlus
DIS004838	Convergence insufficiency	378.83	ICD-9-CM
DIS006679	Conversion disorder	000954	MedlinePlus
DIS007609	Convulsion	125.7	ICD-9-CM
DIS006166	Copper toxicity	002496	MedlinePlus
DIS002983	Corn (medicine)	001232	MedlinePlus
DIS005866	Corneal abrasion	3108	DiseasesDB
DIS007448	Corneal neovascularization	D016510	MeSH
DIS005002	Corneal ulcer	001032	MedlinePlus
DIS007413	Cornelia de Lange Syndrome	122470	OMIM
DIS006162	Coronary artery aneurysm	414.11	ICD-9-CM
DIS006101	Coronary artery disease	007115	MedlinePlus
DIS004108	Corpus luteum cyst	620.1	ICD-9-CM
DIS004973	Cortical blindness	377.75	ICD-9-CM
DIS007328	Cortical deafness	D006313	MeSH
DIS005704	Corticobasal degeneration	331.6	ICD-9-CM
DIS003550	Costochondritis	000164	MedlinePlus
DIS005395	Cotard delusion	297.1	ICD-9-CM
DIS006758	Cowden syndrome	158350	OMIM
DIS007287	Cracked tooth syndrome	521.81	ICD-9-CM
DIS005186	Cradle cap	690.11	ICD-9-CM
DIS004571	Craniodiaphyseal dysplasia	1513	Orphanet
DIS004260	Craniosynostosis	001590	MedlinePlus
DIS007373	Crenated tongue	K14.8	ICD-10
DIS006696	CREST syndrome	181750	OMIM
DIS006112	Creutzfeldt–Jakob disease	000788	MedlinePlus
DIS008132	Cri du chat syndrome	001593	MedlinePlus
DIS007598	Crimean–Congo hemorrhagic fever	065.0	ICD-9-CM
DIS006065	Critical illness polyneuropathy	357.82	ICD-9-CM
DIS003568	Crohn's disease	000249	MedlinePlus
DIS004826	Cronkhite–Canada syndrome	175500	OMIM
DIS006023	Croup	000959	MedlinePlus
DIS003517	Crouzon syndrome	123500	OMIM
DIS003177	Crush injury	000024	MedlinePlus
DIS003425	Cryoglobulinemia	000540	MedlinePlus
DIS007023	Cryopyrin-associated periodic syndrome	208650	Orphanet
DIS007064	Cryptococcosis	001328	MedlinePlus
DIS007560	Cryptogenic organizing pneumonia	31684	DiseasesDB
DIS000057	Cryptomenorrhea	32217	DiseasesDB
DIS006406	Cryptorchidism	000973	MedlinePlus
DIS005209	Cryptosporidiosis	000617	MedlinePlus
DIS006251	Crystal arthropathy	712	ICD-9-CM
DIS001395	Cushing ulcer	3259	DiseasesDB
DIS007077	Cushing's disease	219090	OMIM
DIS003783	Cushing's syndrome	000410	MedlinePlus
DIS004624	Cutaneous amoebiasis	006.6	ICD-9-CM
DIS000947	Cutaneous B-cell lymphoma	article/1099540	eMedicine
DIS005170	Cutaneous horn	31351	DiseasesDB
DIS004601	Cutaneous larva migrans	001454	MedlinePlus
DIS003747	Cutaneous leishmaniasis	085.1	ICD-9-CM
DIS005279	Cutaneous lymphoid hyperplasia	D01931	MeSH
DIS005534	Cutaneous T cell lymphoma	202.1	ICD-9-CM
DIS003338	Cutis laxa	123700	OMIM
DIS003495	Cutis marmorata telangiectatica congenita	001478	MedlinePlus
DIS006208	Cutis verticis gyrata	219300	OMIM
DIS004390	Cyanide poisoning	3280	DiseasesDB
DIS006611	Cyclic neutropenia	162800	OMIM
DIS005147	Cyclopia	759.89	ICD-9-CM
DIS006906	Cyclosporiasis	007.5	ICD-9-CM
DIS006501	Cyclothymia	D003527	MeSH
DIS005615	Cystadenocarcinoma	D003536	MeSH
DIS005629	Cystadenoma	220	ICD-9-CM
DIS006529	Cystic fibrosis	000107	MedlinePlus
DIS005917	Cystic kidney disease	753.1	ICD-9-CM
DIS000703	Cystic nephroma	223.0	ICD-9-CM
DIS006036	Cysticercosis	000627	MedlinePlus
DIS004847	Cystinosis	270.0	ICD-9-CM
DIS007082	Cystocele	3391	DiseasesDB
DIS004781	Cysts of the jaws	D007570	MeSH
DIS005840	Cytomegalovirus retinitis	000665	MedlinePlus
DIS003882	D-bifunctional protein deficiency	261515	OMIM
DIS004211	Da Costa's syndrome	306.2	ICD-9-CM
DIS006317	Dacryoadenitis	001625	MedlinePlus
DIS005142	Dacryocystitis	3432	DiseasesDB
DIS006533	Dahlberg Borer Newcomer syndrome	1563	Orphanet
DIS005450	Dandruff	11911	DiseasesDB
DIS014265	Dandy–Walker malformation	220200	OMIM
DIS007140	Danon disease	300257	OMIM
DIS004944	Darier's disease	124200	OMIM
DIS004155	De Barsy syndrome	2962	Orphanet
DIS003760	De Quervain syndrome	3472	DiseasesDB
DIS007300	De Quervain's thyroiditis	000375	MedlinePlus
DIS006030	Decompression sickness	3491	DiseasesDB
DIS004063	Deep vein thrombosis	000156	MedlinePlus
DIS005327	Deficiency of the interleukin-1–receptor antagonist	210115	Orphanet
DIS006066	Degenerative disc disease	6861	DiseasesDB
DIS005793	Dehydration	000982	MedlinePlus
DIS005171	Dejerine–Roussy syndrome	13002	DiseasesDB
DIS006265	Dejerine–Sottas disease	145900	OMIM
DIS006201	Delayed puberty	17462	DiseasesDB
DIS004564	Delayed sleep phase disorder	327.31	ICD-9-CM
DIS004825	Delirium	000740	MedlinePlus
DIS005763	Delirium tremens	000766	MedlinePlus
DIS006028	Delta-beta thalassemia	231237	Orphanet
DIS003932	Delusional disorder	297.1	ICD-9-CM
DIS004606	Delusional parasitosis	297.1	ICD-9-CM
DIS003289	Dementia	000739	MedlinePlus
DIS004499	Dementia with Lewy bodies	127750	OMIM
DIS004621	Demodicosis	133.8	ICD-9-CM
DIS006795	Demyelinating disease	17472	DiseasesDB
DIS003910	Dengue fever	001374	MedlinePlus
DIS007366	Dent's disease	29911	DiseasesDB
DIS003842	Dental abscess	522.5	ICD-9-CM
DIS010326	Dentatorubral–pallidoluysian atrophy	125370	OMIM
DIS000096	Dentin hypersensitivity	D003807	MeSH
DIS004567	Dentinogenesis imperfecta	520.5	ICD-9-CM
DIS006842	Denture-related stomatitis	D013282 D013282, D013282	MeSH
DIS004167	Denys–Drash syndrome	194080	OMIM
DIS006287	Dependent personality disorder	000941	MedlinePlus
DIS007602	Depersonalization disorder	300.6	ICD-9-CM
DIS007359	Dermatitis	000853	MedlinePlus
DIS003192	Dermatitis herpetiformis	001480	MedlinePlus
DIS007055	Dermatochalasis	219200	OMIM
DIS005465	Dermatofibrosarcoma protuberans	31601	DiseasesDB
DIS004797	Dermatographic urticaria	125635	OMIM
DIS007592	Dermatomyositis	000839	MedlinePlus
DIS003813	Dermatopathia pigmentosa reticularis	125595	OMIM
DIS007196	Dermatophytosis	001439	MedlinePlus
DIS007497	Desmin-related myofibrillar myopathy	601419	OMIM
DIS006996	Desmoplastic fibroma	32871	DiseasesDB
DIS005716	Desquamative gingivitis	523.10	ICD-9-CM
DIS004497	Developmental coordination disorder	315.4	ICD-9-CM
DIS006879	Developmental disability	D002658	MeSH
DIS005158	Developmental disorder	299	ICD-9-CM
DIS006014	dextro-Transposition of the great arteries	608808	OMIM
DIS003759	Dextrocardia	007326	MedlinePlus
DIS006648	Dhat syndrome	F48.8	ICD-10
DIS009973	Diabetes	001214	MedlinePlus
DIS003375	Diabetes insipidus	000377	MedlinePlus
DIS005934	Diabetic angiopathy	250.7	ICD-9-CM
DIS005404	Diabetic bulla	article/1062235	eMedicine
DIS000559	Diabetic foot ulcer	article/460282	eMedicine
DIS003582	Diabetic ketoacidosis	000320	MedlinePlus
DIS006471	Diabetic nephropathy	000494	MedlinePlus
DIS007108	Diabetic retinopathy	000494	MedlinePlus
DIS003397	Diamond–Blackfan anemia	105650	OMIM
DIS005983	Diaphragmatic rupture	862.1	ICD-9-CM
DIS004326	Diarrhea	003126	MedlinePlus
DIS007123	Diastasis recti	001602	MedlinePlus
DIS005206	Diastasis symphysis pubis	D046548	MeSH
DIS007538	Diastrophic dysplasia	222600	OMIM
DIS005157	Dicarboxylic aminoaciduria	14901	DiseasesDB
DIS007476	Dientamoebiasis	007	ICD-9-CM
DIS007617	Dieulafoy's lesion	33135	DiseasesDB
DIS005399	Diffuse esophageal spasm	000289	MedlinePlus
DIS004938	Diffuse idiopathic skeletal hyperostosis	106400	OMIM
DIS006079	Diffuse lamellar keratitis	7773	DiseasesDB
DIS006125	Diffuse large B-cell lymphoma	article/202969	eMedicine
DIS006890	Diffuse myelinoclastic sclerosis	11849	DiseasesDB
DIS006710	Diffuse panbronchiolitis	3804	DiseasesDB
DIS005391	DiGeorge syndrome	188400	OMIM
DIS003889	Digestive system neoplasm	C15	ICD-10
DIS004506	Digoxin toxicity	000165	MedlinePlus
DIS006707	Dilated cardiomyopathy	000168	MedlinePlus
DIS005066	Diplopia	31225	DiseasesDB
DIS003471	Dirofilariasis	125.6	ICD-9-CM
DIS005883	Discitis	000993	MedlinePlus
DIS004477	Discoid lupus erythematosus	29595	DiseasesDB
DIS005273	Dislocated shoulder	31231	DiseasesDB
DIS007368	Dislocation of jaw	830	ICD-9-CM
DIS005695	Disorder of written expression	315.2	ICD-9-CM
DIS006898	Disorganized schizophrenia	295.1	ICD-9-CM
DIS005520	Disseminated intravascular coagulation	000573	MedlinePlus
DIS003349	Distal muscular dystrophy	254130	OMIM
DIS000912	Distal radius fracture	- 21-C3 21-A1 - 21-C3	AO Foundation
DIS005802	Distal renal tubular acidosis	000493	MedlinePlus
DIS005475	Distal spinal muscular atrophy type 1	604320	OMIM
DIS004134	Diurnal enuresis	D053207	MeSH
DIS006483	Diverticulitis	000257	MedlinePlus
DIS005895	Diverticulosis	223320	OMIM
DIS004650	Dizziness	003093	MedlinePlus
DIS003725	Dolichol kinase deficiency	610768	OMIM
DIS003900	Domestic violence	D017579	MeSH
DIS007143	Donnai–Barrow syndrome	2143	Orphanet
DIS005892	DOOR syndrome	220500	OMIM
DIS003459	Dopamine beta hydroxylase deficiency	223360	OMIM
DIS005005	Down syndrome	000997	MedlinePlus
DIS006575	Dracunculiasis	125.7	ICD-9-CM
DIS003681	Drooling	003048	MedlinePlus
DIS005978	Drug allergy	000819	MedlinePlus
DIS006932	Drug overdose	3971	DiseasesDB
DIS003211	Drug-induced lupus erythematosus	000435	MedlinePlus
DIS005218	Drusen	126600	OMIM
DIS002056	Dry eye syndrome	000426	MedlinePlus
DIS003188	Duane syndrome	126800	OMIM
DIS003260	Duane-radial ray syndrome	33688	DiseasesDB
DIS003167	Dubin–Johnson syndrome	000242	MedlinePlus
DIS006839	Duchenne muscular dystrophy	000705	MedlinePlus
DIS005559	Duct ectasia of breast	3994	DiseasesDB
DIS006650	Dukes' disease	057.8	ICD-9-CM
DIS004330	Dumping syndrome	31227	DiseasesDB
DIS004990	Duodenal cancer	152.0	ICD-9-CM
DIS006569	Duodenitis	535.6	ICD-9-CM
DIS006598	Dupuytren's contracture	001233	MedlinePlus
DIS003595	Dwarfism	001176	MedlinePlus
DIS000359	Dysautonomia	337.9	ICD-9-CM
DIS005239	Dyscalculia	001534	MedlinePlus
DIS007342	Dysgerminoma	183.0	ICD-9-CM
DIS005182	Dysgraphia	315.2	ICD-9-CM
DIS005952	Dyskeratosis congenita	30105	DiseasesDB
DIS006712	Dyslexia	001406	MedlinePlus
DIS006738	Dysmetria	2218	DiseasesDB
DIS006718	Dysplastic nevus syndrome	155600	OMIM
DIS004374	Dystonia	128100	OMIM
